,Valve,Ventricle,Atrium,Heart,Adipose,Adipocyte,Osteoblast,Stromal cell,Chondrocyte,Bone marrow,Intestinal epithelial cell,Hepatic stellate cell,Small intestine,Liver,Colon,Colon mucosa,Hepatocyte,Esophagus,Beta cell,Gastric epithelial cell,Alpha cell,Pancreatic islet,Macrophage,Dendritic cell,Kupffer cell,Microglia,Neutrophil,Thymocyte,Plasmacytoid dendritic cell,Granulocyte,Spleen,Thymus,Blymphocyte,Tlymphocyte,Plasma cell,Skin,Fibroblast,Hair follicle,Melanocyte,Basal cell,Keratinocyte,Airway smooth muscle,Skeletal muscle,Vascular smooth muscle,Myofibroblast,Myoblast,Spinal cord,Cerebellum,Medulla,Thalamus,Hypothalamus,Pons,Retina,Cerebral cortex,Sensory neuron,Astrocyte,Motor neuron,Neuron,Oligodendrocyte,Midbrain,Lung,Lung epithelial cell,Trachea,Renal cortex,Ovary,Kidney,Granulosa,Testis,Podocyte,Oocyte,Breast,Mammary gland
CXCL8,5.52384,3.1737,2.16272,5.5514,3.1737,5.8662,6.79614,4.16691,4.28551,5.5331,8.64757,7.46426,3.64478,5.69219,4.85797,4.09204,7.05535,4.05534,3.60651,7.2845,3.89584,7.65305,12.6349,10.6322,9.34254,4.16691,10.2698,2.16272,6.53101,12.2727,4.11061,3.83272,2.77595,4.26947,0.113644,4.00388,4.59911,1.9878,5.79322,9.76892,5.82639,2.77595,1.20968,8.31069,8.12403,4.71212,2.77595,0.113644,4.58465,2.16272,2.41968,6.4358,1.81287,1.20968,1.20968,3.1737,0.113644,0.113644,1.20968,0.113644,7.54934,7.59649,11.1599,3.93402,4.05534,3.05618,6.04635,0.113644,9.73525,2.16272,4.74622,3.28517
DAB2,11.986,9.5583,9.26104,10.6186,11.2252,11.0824,11.9497,11.795,11.3611,7.02366,9.20565,11.8136,9.35657,9.04527,8.66501,8.96431,9.22023,8.2838,5.3292,7.56888,2.61696,6.70196,11.3273,10.845,10.0775,10.2549,7.29406,5.10633,11.0539,5.92656,4.11061,6.98655,1.81287,3.48123,2.41968,10.5533,11.7145,9.95053,11.5997,7.24953,6.50485,12.5099,8.99067,11.6153,11.9137,10.9827,9.31717,8.3814,8.52661,7.12679,7.21826,7.37048,8.55124,5.33404,5.02256,8.37004,6.77744,5.76006,5.65482,3.86195,8.4916,8.18063,6.83068,12.3911,8.40031,8.54663,8.43156,7.56194,9.70888,6.30103,7.37048,6.54418
ECM1,11.0571,8.63669,8.70436,7.90918,8.34337,8.22586,9.75875,9.41463,9.26038,0.113644,3.64478,10.5612,8.33578,7.79648,6.09783,6.08354,5.5514,9.37413,3.28517,7.13506,0.113644,0.113644,10.028,8.07033,8.45269,4.38682,3.89584,1.20968,4.05534,2.77595,2.92457,2.69645,4.26947,4.16691,0.113644,9.92677,10.4202,8.59536,11.671,7.69186,9.19823,11.5595,6.77744,9.75323,11.0026,9.59445,3.83218,3.70787,5.7177,4.99416,4.87314,3.9543,4.6924,4.59398,6.35023,6.16133,3.70787,4.16691,3.1737,4.76187,5.5514,5.44176,8.10195,5.59231,5.64397,4.71212,5.39755,4.16691,8.64543,3.05618,4.93037,4.9151
EMILIN1,11.6212,7.99738,7.18525,7.61504,6.17424,10.276,11.7016,10.5093,11.8956,0.113644,1.81287,12.3272,8.59108,7.23213,5.8662,5.81313,4.56034,4.99416,1.9878,3.70719,0.113644,0.113644,7.69006,5.72615,8.52072,6.41035,3.9543,2.61696,7.76099,3.39116,3.83218,3.86401,5.12981,4.47438,0.113644,7.44713,10.3578,6.07396,7.81365,3.56825,4.11061,12.589,7.28786,11.8165,11.2576,7.61504,8.71085,3.56825,3.89584,6.91696,7.29406,4.11061,2.61696,4.97847,5.72615,5.10633,0.113644,4.21911,4.38682,4.16691,4.21911,3.89584,2.77595,8.78347,6.98284,4.47438,3.70787,3.92507,4.3519,2.41968,3.83218,4.00388
EMP1,12.1748,10.9493,10.7068,9.87578,13.2097,12.0091,12.0498,11.2899,12.0395,6.38743,11.9975,11.4197,9.23424,8.18352,9.98036,9.76553,6.38743,10.0303,2.85026,9.9875,1.81287,0.113644,11.7515,10.4364,9.28564,7.39352,5.38652,3.9543,6.97799,6.18805,6.30103,4.21911,3.28517,4.84279,0.113644,12.2952,11.4883,11.3856,12.4977,10.908,12.1256,11.9132,9.60298,10.8555,11.3351,10.4095,10.0823,6.74061,10.1509,8.34797,9.37255,7.0628,6.91696,6.28344,3.1737,9.31329,3.83218,5.31558,8.52491,4.36936,9.62546,7.17565,11.0973,9.75532,8.54893,6.71195,7.58069,7.21122,7.75317,4.3519,9.6997,8.41576
ENG,12.9153,11.6291,11.667,9.74278,9.73525,10.0208,11.6644,10.5475,10.5381,7.4407,2.92457,11.6406,8.77715,9.92677,6.92122,5.35386,6.45202,7.87338,3.1737,5.7531,0.113644,0.113644,11.4678,10.2509,10.2985,8.06804,8.66182,6.58321,8.08526,4.80976,7.25523,7.97891,6.13094,7.17515,0.113644,9.33518,10.4844,8.20863,10.4706,6.77744,5.69219,11.4602,9.77837,11.1328,11.8674,9.55663,8.86308,6.89949,9.02579,7.96808,7.83709,7.9722,4.67269,5.5556,5.18213,5.5331,1.81287,3.39116,3.70787,3.67632,7.13293,4.05534,6.14657,10.4663,9.51165,6.20187,8.97842,7.05481,7.72768,9.00801,7.63021,6.51095
FABP4,6.19937,10.9281,9.47231,7.95029,15.5435,14.3778,2.16272,1.20968,3.70787,0.113644,0.113644,3.76961,3.05618,3.64478,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,5.93591,7.92253,5.96084,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.81287,0.113644,1.20968,1.20968,2.61696,1.20968,2.41968,9.17601,2.61696,4.36936,0.113644,0.113644,0.113644,1.20968,1.20968,1.20968,0.113644,2.41968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,2.2912,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644
FAM20C,9.331,7.89585,7.47244,7.42671,9.05898,9.03285,9.85318,9.00523,10.0527,0.113644,7.67905,9.66068,8.9635,8.98773,7.31657,6.6958,9.11453,7.73525,5.83491,7.89565,2.92457,0.113644,10.3636,8.98773,9.0467,8.27014,6.56004,0.113644,6.13896,3.47971,1.20968,2.16272,0.113644,2.41968,0.113644,7.85098,9.1625,7.8247,7.76126,6.33632,7.49889,10.4015,8.62357,9.15573,8.64981,8.04956,9.50407,7.53683,6.95595,9.34152,9.37075,6.38743,6.89949,9.217,10.1124,8.71416,8.13314,8.09635,7.52411,7.66054,7.51341,6.85833,5.78326,10.2662,6.78634,7.00003,4.87131,4.72917,9.48878,1.81287,7.74633,8.24099
FAP,7.14836,6.05806,3.39116,7.11933,5.65482,9.37075,10.9663,11.0143,10.3103,0.113644,1.20968,10.9454,3.64478,2.16272,1.20968,3.11494,1.81287,1.81287,2.61696,0.113644,10.6052,8.54244,2.77595,0.113644,7.43491,0.113644,1.81287,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,7.90088,10.2838,7.43175,6.92768,3.05618,5.8662,10.9651,6.9657,11.1232,9.89772,10.0603,3.11494,0.113644,3.28243,3.28517,3.28517,0.113644,6.9657,2.16272,0.113644,3.56825,0.113644,1.20968,1.20968,0.113644,1.81287,0.113644,3.39116,2.41968,3.48123,1.20968,0.113644,1.81287,1.81287,0.113644,1.20968,0.113644
FPR3,6.54466,5.82639,5.00836,2.16272,7.75625,2.77595,1.81287,1.20968,1.20968,0.113644,2.61696,2.16272,4.31312,5.82639,2.16272,2.16272,2.16272,0.113644,0.113644,0.113644,0.113644,0.113644,11.0036,11.7266,5.84806,1.81287,5.02256,1.20968,4.65561,2.16272,1.81287,2.16272,0.113644,1.20968,0.113644,2.41968,0.113644,1.20968,0.113644,2.41968,1.20968,0.113644,3.83218,1.81287,1.81287,1.20968,4.76187,2.16272,1.20968,1.20968,1.20968,3.64478,1.20968,0.661663,0.113644,1.81287,0.113644,0.113644,2.41968,0.113644,1.20968,0.113644,0.113644,3.43619,2.41968,1.20968,1.20968,1.81287,0.113644,0.113644,1.20968,1.81287
GEM,9.93761,8.05707,7.03871,8.73712,6.39847,7.74633,7.45757,6.93534,9.67695,0.113644,7.54411,8.30029,7.71533,5.5514,6.24863,6.2509,5.07842,4.93037,5.95167,6.96109,6.09783,3.05618,7.29945,6.42264,6.87051,4.80976,2.16272,3.83218,4.11061,0.113644,5.40837,3.39116,4.37212,4.47438,0.113644,6.31418,7.60281,7.47145,6.20796,5.99799,4.26947,10.0629,4.77752,8.84201,8.32825,6.27464,5.80336,1.81287,7.03003,5.5331,6.09783,2.61696,8.83661,6.24302,1.81287,6.83834,2.92457,4.87314,6.16133,5.06359,6.59685,6.79614,4.71212,7.32343,6.56825,5.47412,7.77005,4.36936,5.88569,8.23044,5.28658,5.63312
GPNMB,11.6502,12.0834,10.3969,10.8927,10.8574,10.4681,10.5733,9.37912,9.71426,6.30103,5.97647,7.30561,6.9462,8.01158,5.91042,6.01703,5.88569,8.24342,5.67402,4.43812,6.35023,8.02123,13.8901,11.6375,11.7129,8.87049,4.77752,4.11061,5.87595,4.51527,4.71212,3.97909,5.98306,4.21911,7.23213,11.6561,10.3981,12.5168,14.553,7.10186,9.84671,13.719,8.8032,10.0805,10.6464,9.1361,10.7276,4.51527,8.52956,7.24729,7.24729,5.61397,6.86236,3.17067,5.5331,6.01703,4.80976,4.3519,2.92457,5.61307,7.19727,5.28658,9.77414,7.96088,7.53672,5.10633,5.18213,5.93506,4.93037,5.78326,7.4407,6.80554
HRH1,7.76713,4.79364,4.82627,5.95167,7.57981,7.23213,8.10812,7.68261,9.47615,3.28517,8.48665,8.25328,5.02256,3.56825,6.79623,6.36637,2.77595,7.00003,2.41968,7.69174,3.39116,2.41968,7.33029,7.82916,5.46096,6.86236,3.56825,3.64478,2.61696,3.39116,3.39116,2.92457,2.77595,3.28517,2.77595,7.46426,7.67462,5.98509,2.16272,6.86236,7.76936,8.62357,5.12981,8.19063,8.86148,6.78736,4.94657,2.77595,6.02403,3.9543,4.00388,3.64478,3.28517,4.62044,3.1737,6.93534,4.26947,3.70787,2.61696,2.99037,6.68963,6.89018,7.60901,4.97847,6.20187,3.89584,6.66685,3.28517,7.66804,4.21911,4.6924,4.00388
HSD11B1,6.52121,4.88649,3.89324,4.51527,7.72768,6.89949,2.61696,2.61696,5.6831,0.113644,0.113644,6.75783,2.16272,9.38595,0.113644,0.113644,8.76542,0.113644,0.113644,0.963256,0.113644,0.113644,6.18762,7.66804,10.4971,0.113644,1.81287,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,3.1737,1.20968,0.113644,0.113644,5.31231,3.56825,7.56734,4.51527,4.80976,6.1521,0.113644,2.92457,6.14657,1.20968,1.81287,1.81287,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,3.76961,1.20968,2.41968,0.113644,1.81287,0.113644,0.113644,0.113644,0.113644,0.113644
HTRA1,11.3556,10.1816,9.42453,10.1791,11.0496,12.4688,12.3183,11.5619,12.9203,0.113644,3.1737,11.1457,8.59108,10.1387,6.38187,8.03146,9.99084,8.00002,4.43111,7.20582,4.74622,0.113644,8.15151,0.113644,11.5536,10.5187,2.77595,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,10.3278,10.8211,10.883,9.93643,8.2838,10.9751,10.837,8.21748,11.3556,11.6113,12.6157,11.4791,9.46423,8.10567,11.7214,11.9709,4.87314,10.3555,9.47084,9.45761,10.5743,5.63312,7.39734,9.41994,7.43403,7.74633,6.8949,8.45606,9.4827,9.38449,7.21103,11.5929,5.1434,7.30561,6.23741,6.8903,7.38391
HTRA3,10.6913,9.91591,9.0227,4.84279,7.7375,7.78223,6.42922,5.12981,8.55041,0.113644,0.113644,8.12393,5.18213,3.89584,3.70787,4.82627,2.77595,6.48238,0.113644,2.54902,0.113644,0.113644,4.89983,1.20968,4.51214,1.20968,2.16272,0.113644,0.113644,3.05618,0.113644,0.113644,0.113644,0.113644,0.113644,5.90239,5.8662,4.11061,3.43619,1.20968,0.113644,9.37661,8.60063,7.10985,6.92122,7.51341,2.2912,0.113644,1.81287,3.1737,4.21911,1.20968,1.20968,2.41968,3.83218,3.28517,0.113644,1.20968,1.81287,0.113644,3.05618,2.77595,0.113644,3.60651,6.56568,4.26947,4.71212,2.61696,4.26947,4.43111,1.20968,0.113644
IGFBP4,12.72,11.4333,11.8418,10.4095,11.2938,11.8249,13.9155,12.6233,11.7505,0.113644,9.65662,13.677,10.3265,12.589,10.2142,10.8059,11.9402,9.91698,4.51527,9.59764,0.113644,0.113644,7.57242,6.90917,13.4242,6.91306,6.07935,4.00388,5.59303,2.2912,7.33897,4.16691,6.02565,6.86236,0.113644,11.3703,12.4722,9.69911,9.46356,9.81105,7.90918,14.8916,9.80965,12.0834,12.6994,10.2038,7.69964,4.47438,9.34793,7.20421,9.00801,6.35023,7.34892,8.12869,6.26032,8.4413,6.49365,7.06978,8.32484,7.29313,10.2887,11.4235,9.84671,12.4572,10.5908,6.91696,9.27797,8.1891,11.0493,4.77752,10.802,10.991
IGFBP7,13.9751,12.7591,11.8702,12.8803,11.724,12.2587,13.6118,12.3527,11.7532,8.53541,5.34024,13.0382,11.6239,10.8678,7.70672,9.9529,6.9754,8.9972,8.1195,6.0121,9.93459,10.242,7.53071,6.71195,9.70824,7.28076,7.23213,3.05618,5.80336,7.41203,5.45333,4.29129,3.05618,3.39116,0.113644,10.7337,11.0965,11.6619,12.5273,10.1926,10.7216,10.9388,10.5565,13.4553,13.2064,10.61,10.9988,5.28658,10.3256,10.0073,10.2086,7.89087,7.93315,6.25393,5.98306,9.72661,5.63312,5.18213,5.04875,5.64397,9.10164,7.28315,11.4883,13.2896,9.92688,9.20348,11.0277,9.00189,13.1266,5.84343,7.54934,5.30108
IL1R1,11.4421,9.78303,9.27815,8.79012,10.2776,11.1975,10.5423,10.1628,11.5364,5.02256,4.89983,10.9708,8.57032,10.7868,7.19727,6.38768,10.07,6.9828,6.20187,7.25252,8.51328,8.08888,8.4916,10.077,11.0065,5.75193,8.97562,4.31312,4.43111,9.31691,4.51527,3.83218,5.07842,4.63537,0.113644,10.2739,9.93001,9.56489,6.33632,8.37164,7.24729,12.6003,8.33012,10.5678,10.8387,9.27797,7.66284,4.51527,8.8275,4.71212,5.07842,6.90917,6.36501,2.38984,4.00388,6.68963,3.56825,3.48123,3.05618,2.16272,8.56328,8.44788,8.46608,9.65903,8.97186,7.38969,7.1316,6.87612,8.13314,4.26947,7.58896,8.19528
IL6,5.99052,3.9543,3.56825,5.23546,2.16272,6.70196,6.8949,6.8949,3.80089,0.113644,0.113644,7.47443,1.20968,1.20968,1.20968,1.20968,1.20968,4.47438,0.113644,3.77366,0.113644,0.113644,5.45333,5.91845,5.6234,0.113644,2.61696,0.113644,2.41968,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,3.05618,5.66442,1.6862,3.92507,3.05618,3.1737,6.62962,1.20968,8.55124,7.77393,1.81287,1.20968,0.113644,2.69645,1.20968,1.20968,1.20968,1.20968,0.113644,0.113644,1.81287,0.113644,0.113644,0.113644,0.113644,4.11061,1.20968,4.51527,1.20968,1.81287,0.113644,0.113644,0.113644,9.91484,0.113644,2.16272,1.20968
INHBA,8.68576,5.83491,5.12901,9.32737,4.84279,8.97262,11.7802,11.6303,10.4804,3.1737,3.80089,10.8164,6.11658,7.25523,3.05618,3.85588,7.00003,5.99799,7.66158,2.29441,8.43178,8.19468,8.47383,8.78132,8.74294,6.13094,3.1737,3.48123,1.81287,3.89324,2.61696,2.16272,1.81287,2.61696,0.113644,8.03109,9.84878,9.84932,4.57973,8.56232,10.7044,8.56752,5.07842,11.8061,9.70115,9.43203,6.73635,3.9543,7.1681,4.77752,4.77752,3.76961,5.46373,5.55467,2.77595,6.26032,5.10633,4.31312,4.89983,3.39116,6.65623,2.61696,7.83293,5.17089,7.61169,4.40897,9.48244,6.52685,11.3613,6.20187,6.01703,6.21406
ISLR,12.0918,8.09951,8.04335,7.58896,9.7182,9.34648,8.441,10.105,11.5966,0.113644,0.113644,6.63774,6.38743,4.67269,2.77595,5.27627,1.20968,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,3.92746,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,7.57242,7.14836,7.928,0.113644,1.9878,0.113644,11.5506,8.12696,11.0463,6.89305,6.11658,6.4358,1.81287,4.29129,5.04875,5.72615,0.113644,2.77595,2.51832,1.20968,3.39116,0.113644,2.16272,1.20968,2.16272,2.16272,2.16272,0.113644,5.54345,5.57221,1.20968,0.113644,3.1737,0.113644,0.113644,0.113644,0.113644
LRRC32,9.94961,9.31063,8.84983,8.29646,8.29013,9.14581,9.26752,7.64908,5.09238,0.113644,0.113644,8.92409,7.09227,7.34635,4.31312,3.96826,4.63537,2.16272,0.113644,3.33816,0.113644,0.113644,5.04875,6.01703,7.02922,1.20968,4.71212,0.113644,3.05618,0.113644,2.77595,3.11494,4.3915,4.21911,0.113644,6.8903,6.89949,6.86501,2.99037,0.113644,1.81287,10.449,8.06575,9.16713,9.09888,2.41968,6.10721,3.48123,3.42671,4.77752,4.77752,3.39116,3.56825,2.60945,2.77595,2.92457,0.113644,1.81287,1.20968,2.85026,2.61696,1.20968,1.20968,9.65925,6.65149,3.83218,2.51832,3.80089,5.47412,2.77595,1.20968,0.113644
LTBP2,13.7953,10.79,10.2712,10.7784,9.54912,11.3417,13.3486,12.536,12.5861,1.81287,2.16272,13.2165,7.49889,5.93591,6.14657,6.51689,5.93591,8.19063,4.59911,4.80597,0.113644,0.113644,7.73975,4.59911,9.20665,6.59685,6.33362,3.89584,5.30108,6.96122,4.74622,4.74622,4.56034,4.99416,0.113644,9.88286,11.4612,12.3081,6.20279,8.84038,10.7651,14.0088,9.66068,12.3665,12.021,11.598,8.43816,6.17424,7.55088,5.81111,6.35023,5.8662,7.14836,4.33251,5.45333,7.83293,4.21911,5.18213,5.40837,5.02256,8.40087,7.32559,8.64333,7.74646,9.68321,6.34193,7.49889,6.50535,10.813,6.99029,6.51705,6.93584
LUM,11.0842,11.763,9.40364,11.5121,11.6886,11.9071,12.185,12.1512,14.419,0.113644,4.02961,11.2886,9.63365,7.87338,4.84279,8.00784,3.83218,3.05618,0.113644,4.28981,0.113644,0.113644,0.113644,0.113644,6.11068,1.81287,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,11.2754,11.6701,10.3947,3.80089,1.20968,2.16272,13.139,9.1244,12.0002,11.352,9.14276,3.39116,0.113644,5.77783,4.38682,6.49365,0.113644,5.92718,2.2912,3.28517,5.84343,0.113644,4.26947,5.76006,0.113644,3.05618,5.19501,0.113644,8.35451,6.89227,3.1737,2.89533,2.61696,10.041,0.113644,1.20968,1.81287
MEDAG,8.86384,7.04658,6.64163,6.28742,8.32293,9.65078,9.6316,8.05911,9.11725,0.113644,0.113644,6.90917,2.41968,1.81287,1.20968,2.69645,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,4.81552,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,6.11658,6.11658,4.05725,0.113644,1.20968,0.113644,9.46706,6.60849,9.06234,7.99672,5.82639,2.16272,0.113644,2.16272,1.81287,2.61696,0.113644,1.20968,2.2912,5.15699,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,2.77595,1.81287,0.113644,0.113644,2.16272,1.81287,0.113644,0.113644,0.113644
MMP14,11.7839,8.84868,8.85203,7.90088,9.6092,12.3009,13.4726,12.4638,12.3024,0.113644,9.07491,13.677,8.70774,8.33012,9.5661,10.5962,10.1053,8.90075,3.64478,11.3049,0.113644,0.113644,12.2923,9.4188,11.5823,9.29474,5.65482,1.20968,5.00836,3.60651,2.77595,3.60651,4.28551,4.77752,0.113644,11.5283,12.2423,11.2668,13.5976,11.9564,12.2754,13.6666,7.65906,13.8655,12.7436,10.9115,9.3144,4.67269,9.57197,9.48624,9.89648,7.22538,8.45606,8.48079,5.84343,9.92253,3.48123,5.70924,6.76675,5.34282,7.92253,4.74482,10.6602,9.53297,9.79699,5.80336,5.53357,5.11807,13.0438,3.39116,8.01669,6.57326
MMP19,9.44318,6.09783,6.84192,6.81484,9.46332,8.7545,8.00002,8.08929,5.61307,0.113644,1.81287,8.06575,4.67269,5.51459,4.26947,4.75774,5.18213,5.47412,0.113644,4.32561,0.113644,0.113644,10.5486,8.75087,7.57325,2.77595,3.70787,2.92457,2.77595,1.20968,2.61696,1.9878,1.81287,1.81287,0.113644,6.79623,7.82356,7.61817,2.92457,3.73874,5.51459,8.40872,4.31312,7.69953,8.36372,7.86771,2.16272,2.16272,3.60651,2.16272,2.16272,3.28517,2.16272,1.20968,1.20968,5.23546,1.20968,2.41968,3.1737,0.661663,4.05534,2.77595,3.64478,3.47971,5.51459,2.61696,4.99267,2.41968,5.40837,3.39116,4.05534,4.57973
MMP2,13.4596,11.2706,11.1689,10.6745,11.1681,12.8179,13.8655,13.383,12.298,2.61696,1.20968,14.1764,8.81909,7.28786,8.5212,9.55542,4.89983,9.35141,4.74622,4.10658,0.113644,0.113644,8.45124,1.81287,9.91341,9.27797,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,1.20968,0.113644,12.1331,12.9992,11.2635,11.7555,8.68345,8.76939,15.7616,9.79901,14.3189,13.4562,12.5099,8.16103,1.20968,8.35116,7.86326,8.09873,2.41968,7.67862,6.72628,9.9708,10.0235,8.17773,7.82526,8.12035,6.18762,5.91845,4.26947,7.32318,8.61401,9.94484,6.09783,3.56825,8.30295,9.99244,2.16272,2.77595,1.20968
MRAS,9.51045,11.6836,11.6853,9.36086,11.2038,10.813,9.69787,9.65935,8.73588,4.9151,3.67632,9.58247,5.91845,6.59685,6.14657,6.85833,7.12679,6.13094,6.80572,7.18072,6.09783,6.27464,10.1493,9.70667,8.95744,7.63578,5.78326,3.39116,5.72615,4.6924,3.56825,3.73874,2.92457,3.05618,4.38682,8.19977,9.4944,9.10198,9.91074,6.20796,6.30103,9.52771,9.90193,9.90663,9.0576,10.9799,11.1296,9.79901,7.98583,10.2371,10.2371,6.20187,8.71785,9.75319,8.90451,8.98109,8.97262,9.06946,7.71533,9.37788,7.19727,6.56568,6.05008,8.70663,8.23901,7.69953,8.99681,8.15551,8.97262,9.00294,6.53965,6.67211
MRC1,10.6712,9.08173,8.72005,1.20968,8.60355,2.16272,1.20968,0.113644,2.16272,0.113644,6.30103,0.113644,6.62962,8.64333,2.77595,1.20968,5.07842,0.113644,2.51832,0.661663,8.85952,5.70924,11.4834,13.1143,5.61152,8.19723,4.21911,1.20968,5.84629,1.81287,2.41968,2.2912,0.113644,2.16272,0.113644,2.41968,0.113644,2.16272,1.81287,3.43619,0.113644,0.113644,5.90239,1.20968,0.113644,0.113644,5.54225,2.16272,2.85026,2.61696,2.61696,3.89584,1.20968,0.661663,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,8.0369,5.93591,2.16272,4.93268,4.98956,0.113644,7.16288,0.113644,0.113644
MRGPRF,8.37664,5.07842,5.24758,4.67269,7.03818,7.80811,8.15772,7.74633,7.73755,0.113644,1.20968,8.90936,3.76961,4.16691,3.70787,4.49573,4.38682,3.28517,0.113644,2.51832,0.113644,0.113644,1.81287,0.113644,7.16794,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,6.50485,8.37638,6.84472,3.1737,0.113644,2.16272,10.8678,4.93037,7.08465,8.76298,3.28517,3.56825,5.82639,0.113644,2.77595,3.28517,0.113644,1.20968,1.20968,1.20968,2.41968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,5.45112,2.92457,0.113644,0.113644,2.92457,2.16272,1.20968,1.20968,0.113644
MSC,8.54192,5.34282,5.15597,7.23213,6.41035,7.63847,7.64769,6.75375,4.51527,0.113644,0.113644,9.06713,3.56825,3.56825,2.77595,2.85026,3.28517,2.41968,1.20968,0.661663,0.113644,0.113644,8.98773,9.50235,7.34842,0.113644,5.04875,0.113644,6.05016,2.16272,2.77595,1.20968,2.16272,5.02256,0.113644,4.84279,6.58321,5.3147,10.1989,3.70787,3.56825,8.956,5.31558,8.81277,9.40765,7.557,0.113644,0.113644,1.9878,1.81287,1.81287,3.28517,0.113644,1.51127,9.23137,2.77595,0.113644,0.113644,0.113644,0.113644,4.21911,6.60267,1.20968,3.1737,3.11494,3.64478,0.113644,2.77595,6.75783,0.113644,0.113644,0.113644
MT1M,4.97847,4.38682,4.31312,3.39116,4.67269,4.93037,2.61696,3.56825,7.46147,0.113644,4.81015,3.64478,3.28517,7.46426,2.16272,0.113644,4.47438,0.113644,0.113644,1.20968,0.113644,0.113644,3.56825,0.113644,4.96278,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,2.77595,2.16272,3.22367,0.113644,2.16272,1.20968,4.80976,3.39116,1.81287,3.97909,3.56825,4.99416,2.61696,0.113644,6.93534,1.81287,0.113644,2.61696,2.2912,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,2.92457,1.9878,2.16272,0.113644,4.05725,0.113644,3.70787,2.61696,0.113644,0.113644
