,Valve,Ventricle,Heart,Atrium,Adipose,Adipocyte,Osteoblast,Bone marrow,Stromal cell,Chondrocyte,Intestinal epithelial cell,Liver,Small intestine,Hepatic stellate cell,Colon,Hepatocyte,Esophagus,Beta cell,Colon mucosa,Gastric epithelial cell,Alpha cell,Pancreatic islet,Plasmacytoid dendritic cell,Neutrophil,Granulocyte,Microglia,Dendritic cell,Macrophage,Spleen,Thymus,Tlymphocyte,Blymphocyte,Thymocyte,Kupffer cell,Plasma cell,Basal cell,Keratinocyte,Skin,Hair follicle,Fibroblast,Melanocyte,Skeletal muscle,Myoblast,Airway smooth muscle,Vascular smooth muscle,Myofibroblast,Pons,Spinal cord,Sensory neuron,Hypothalamus,Retina,Medulla,Thalamus,Cerebral cortex,Cerebellum,Astrocyte,Oligodendrocyte,Neuron,Midbrain,Motor neuron,Lung,Trachea,Lung epithelial cell,Podocyte,Granulosa,Ovary,Renal cortex,Kidney,Testis,Breast,Oocyte,Mammary gland
ALOX5AP,8.03149,6.18093,4.77752,4.41314,6.27464,3.05618,2.61696,2.61696,2.16272,1.20968,7.15855,4.84279,4.43111,3.56825,3.05618,2.92457,1.81287,1.20968,1.20968,0.963256,0.113644,0.113644,12.5116,11.6836,11.0548,10.4706,9.94145,9.80126,9.37661,8.91475,8.87813,8.84516,8.71416,4.19266,1.81287,3.48123,2.77595,2.77595,0.113644,0.113644,0.113644,4.11061,3.39116,2.92457,2.61696,1.20968,7.45868,6.53965,2.92457,2.92457,2.77595,2.41968,1.81287,1.6862,1.20968,1.20968,0.113644,0.113644,0.113644,0.113644,2.92457,2.41968,1.81287,5.02256,4.40897,4.13876,3.28517,1.81287,1.81287,1.20968,0.113644,0.113644
ARHGAP30,8.79847,6.41035,3.76961,6.27387,8.20847,3.9543,3.1737,8.77115,2.92457,3.1737,6.70373,6.81484,5.63312,3.28517,5.02256,3.9543,4.63537,3.48123,3.73874,4.87179,0.113644,0.113644,11.985,12.7328,12.2633,8.38671,11.5386,11.3582,11.6375,11.4421,11.5871,11.4912,11.4183,5.77349,9.42157,5.37559,4.67269,4.77752,4.65561,2.92457,3.39116,5.34282,3.70787,2.61696,3.56825,3.05618,9.42341,7.557,5.07842,4.3519,4.26947,4.65403,4.21911,3.05618,3.83218,3.56825,4.43111,3.56825,3.1737,2.61696,4.47438,5.69219,4.05534,4.00388,3.73874,5.79561,4.6908,4.38682,4.11061,5.15699,3.89584,4.89983
BATF,5.24758,2.61696,0.113644,1.20968,2.41968,0.113644,0.113644,1.20968,0.113644,3.56825,0.661663,3.28517,1.81287,0.113644,1.81287,3.56825,0.113644,0.113644,0.113644,3.25606,0.113644,0.113644,5.24758,8.05706,7.85523,0.113644,7.44713,7.42671,7.84148,5.45333,8.06575,7.07,4.89983,3.56825,0.113644,3.1737,0.113644,0.113644,0.113644,0.113644,4.31312,0.113644,0.113644,0.113644,0.113644,0.113644,4.96278,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,4.21911,0.113644,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,5.67402,0.113644,4.71212
BCL2A1,2.41968,2.92457,0.113644,1.51127,4.77752,2.16272,1.20968,3.05618,0.113644,2.85026,4.94699,4.05534,2.41968,2.92457,1.81287,2.61696,0.113644,0.113644,1.51127,1.81287,0.113644,0.113644,6.80406,10.6209,11.4485,2.16272,9.19016,11.0999,8.06575,4.80976,7.72768,6.92548,4.31312,5.52067,0.113644,3.64478,1.20968,1.81287,0.113644,0.113644,8.56078,1.20968,0.113644,3.56825,2.41968,1.20968,6.50485,2.92457,1.20968,1.20968,0.113644,1.51127,1.20968,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,3.76961,4.56034,4.11061,3.39116,0.113644,1.81287,1.20968,0.113644,0.113644,1.20968,0.113644,0.113644
BIN2,6.00011,5.02256,2.61696,4.29129,6.74966,1.81287,1.81287,9.54065,0.661663,1.20968,5.67402,6.39847,4.26947,1.20968,4.31312,2.16272,1.20968,1.20968,1.20968,0.661663,0.113644,0.113644,10.8224,12.1557,11.9674,9.30498,9.87578,10.1734,10.5864,10.5481,10.3035,7.64908,10.5945,3.90543,9.22023,2.61696,1.20968,3.05618,2.41968,1.20968,1.20968,4.16691,0.113644,1.20968,1.20968,0.113644,8.99956,5.57065,0.113644,3.1737,1.81287,3.05618,1.81287,1.81287,2.41968,1.20968,1.20968,1.20968,0.113644,0.113644,2.41968,1.81287,2.41968,1.20968,1.81287,3.89584,3.33816,1.81287,5.63312,1.81287,2.41968,2.16272
CCL3,4.67374,2.41968,0.113644,1.81287,3.28517,0.113644,0.113644,0.113644,0.113644,0.113644,3.64478,4.63537,2.92457,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,5.95075,6.35023,5.59303,5.19622,10.453,11.739,6.79623,2.41968,6.63774,5.51459,0.113644,6.12754,8.67553,0.113644,0.113644,0.113644,0.113644,0.113644,3.97559,0.113644,0.113644,0.113644,0.113644,0.113644,4.00388,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,1.51127,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.81287,3.28517,0.113644,1.20968,0.113644,0.113644,0.113644
CCL3L3,2.61696,1.81287,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,2.16272,1.20968,1.81287,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,4.76094,6.72289,6.74514,2.16272,6.9462,8.7545,3.64478,1.51127,4.26947,6.32801,0.113644,3.93194,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,1.20968,2.77595,1.20968,0.113644,0.113644,1.20968,2.2912,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.81287,0.113644,0.113644,0.113644,0.113644,0.113644
CCL4,4.31312,3.05618,0.113644,2.2912,2.61696,0.113644,0.113644,0.113644,0.113644,0.113644,5.6035,5.07842,3.39116,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,4.99416,8.45606,7.16203,4.11061,9.08301,11.1775,7.33897,3.28517,7.16288,6.23752,1.81287,3.62197,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,4.31312,1.81287,0.113644,0.113644,0.113644,0.113644,0.113644,1.81287,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,3.28517,0.113644,1.20968,0.113644,0.113644,0.113644
CCL4L2,2.69645,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,3.67632,2.16272,2.41968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,4.13723,7.21103,6.55013,2.77595,7.58896,9.33926,4.00388,1.20968,5.57065,6.83811,0.113644,3.67502,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.9878,0.113644,0.113644,0.113644,0.113644,0.113644
CD48,4.21819,4.00388,0.113644,2.2912,4.80976,0.113644,0.113644,5.7177,0.113644,0.113644,5.95948,5.38652,3.89584,0.113644,1.81287,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,10.404,11.6343,9.76155,1.81287,10.0643,10.899,10.8656,10.5641,11.808,10.6239,10.483,4.08988,11.1403,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,2.92457,0.113644,0.113644,0.113644,0.113644,7.93315,2.92457,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.81287,2.2912,0.113644,0.113644,0.113644,0.113644,0.113644
CD52,4.59325,4.47438,0.113644,2.41968,6.92548,2.77595,0.113644,9.60831,0.113644,0.113644,7.38198,5.15699,4.00388,0.113644,3.05618,1.81287,0.113644,0.113644,1.81287,0.113644,0.113644,0.113644,9.0397,11.1555,9.27148,0.113644,10.9533,10.1156,11.5461,10.4202,11.1753,10.6153,11.2423,4.74274,0.113644,2.41968,1.20968,1.81287,0.113644,0.113644,0.113644,3.39116,0.113644,0.113644,0.113644,0.113644,7.38198,1.20968,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,3.1737,1.81287,1.20968,0.113644,0.113644,0.113644,0.113644
CD53,8.57276,7.03085,1.20968,5.46204,6.79623,0.113644,0.113644,10.6369,0.113644,0.113644,8.24022,7.75317,6.03426,0.113644,2.77595,2.77595,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,12.2491,12.9304,12.6157,10.7743,12.5596,12.4925,12.3913,11.1514,12.0091,10.6028,10.5967,5.80549,11.3143,3.1737,0.113644,1.81287,1.81287,0.113644,0.113644,4.71212,0.113644,0.113644,0.113644,0.113644,9.82853,8.2194,0.113644,2.41968,1.81287,1.81287,2.41968,1.9878,3.05618,0.113644,1.20968,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,4.43111,4.89983,1.20968,1.81287,1.20968,0.113644,1.20968
CLECL1,1.81287,1.20968,0.113644,1.20968,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,7.67462,4.74622,1.20968,0.113644,7.12679,5.63312,5.91845,3.48123,5.8662,8.13392,3.64478,0.661663,3.83218,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644
CXCR3,2.51832,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,2.99037,1.20968,1.81287,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,9.998,7.34635,1.20968,0.113644,3.64478,2.41968,7.06978,4.6924,6.92548,4.6924,4.38682,2.03397,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,2.41968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644
CXorf21,2.99037,2.77595,2.41968,2.61696,4.38682,1.20968,1.20968,7.33029,0.113644,1.20968,2.85026,3.28517,2.61696,0.113644,2.16272,1.81287,1.20968,1.20968,1.81287,0.113644,1.20968,0.113644,9.84854,8.66986,9.30583,7.63021,8.53994,8.19468,7.19727,6.36501,5.82639,7.7248,5.96743,2.72394,7.19032,1.20968,0.113644,2.41968,1.20968,1.20968,1.20968,2.16272,1.20968,0.113644,0.113644,1.20968,4.63537,3.28517,1.20968,2.16272,1.20968,2.51832,2.16272,1.81287,2.16272,1.20968,1.20968,1.20968,0.113644,1.81287,1.81287,1.81287,1.20968,0.113644,0.113644,1.81287,1.9878,1.81287,1.20968,1.20968,0.113644,1.20968
CYTH4,8.09808,6.11658,4.99416,6.18769,6.60849,2.61696,2.77595,8.54663,2.92457,2.61696,5.66266,6.11658,5.15699,3.05618,5.4302,3.64478,4.21911,2.41968,2.92457,1.9878,4.43111,4.26947,12.5197,12.4071,12.21,9.50254,11.609,11.436,9.9955,9.48663,9.66533,8.45197,8.84482,4.71701,8.66182,3.64478,2.41968,5.12981,2.92457,2.61696,2.41968,5.61397,2.41968,1.81287,2.41968,2.92457,8.66757,7.38583,1.81287,4.47438,2.92457,4.00388,4.21911,3.11494,3.64478,2.61696,2.61696,2.41968,2.16272,3.28517,4.74622,3.39116,4.02961,3.1737,3.56825,5.07842,6.66205,3.67632,2.85026,3.39116,2.92457,3.11494
CYTIP,4.6924,4.47438,2.77595,3.76961,5.65482,1.81287,1.81287,7.89087,1.20968,1.20968,8.15501,5.99799,5.28658,0.113644,3.56825,2.16272,0.113644,1.20968,1.81287,3.12199,0.113644,0.113644,9.6777,11.4183,11.4053,3.28517,10.5407,9.56017,11.6718,10.6959,11.8478,10.0139,9.24262,5.01465,11.2382,1.81287,0.113644,2.16272,1.81287,0.113644,0.113644,3.39116,2.16272,0.113644,0.113644,0.113644,8.3629,4.76187,0.113644,2.16272,1.81287,3.43619,1.81287,1.20968,1.20968,1.20968,0.113644,0.113644,0.113644,0.113644,1.81287,0.113644,1.20968,2.41968,2.77595,3.92507,4.11113,2.41968,1.81287,1.20968,3.28517,0.113644
DAPP1,3.56825,3.56825,3.64478,3.28517,5.02256,2.61696,1.20968,7.99022,1.81287,1.20968,5.4302,4.00388,4.11061,1.20968,4.67269,2.41968,5.88569,1.81287,2.2912,5.20469,0.113644,0.113644,9.975,10.4095,10.4507,7.72691,9.90455,9.04138,8.40357,7.84538,8.47702,9.44122,5.79561,2.85435,9.37661,9.4628,9.56277,6.17424,4.30149,1.20968,1.81287,4.67269,1.20968,1.20968,1.81287,1.20968,8.77715,3.28517,1.81287,2.16272,1.20968,4.26947,2.16272,1.20968,2.61696,1.81287,2.41968,1.81287,0.113644,1.81287,4.96278,9.9665,2.16272,3.1737,4.24429,4.21911,3.11494,2.61696,2.41968,4.21911,5.47412,4.08298
DOK2,7.04337,4.67269,0.113644,3.59455,4.59911,0.113644,1.20968,0.113644,0.113644,0.113644,3.05618,5.02256,3.56825,1.20968,1.81287,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,7.46935,10.1755,8.19977,2.16272,9.7887,8.88232,9.49929,8.37372,8.84201,6.6668,8.00002,3.56275,0.113644,1.20968,0.113644,1.81287,0.113644,0.113644,3.1737,3.76961,0.113644,0.113644,0.113644,0.113644,6.56004,1.20968,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,3.73874,3.28517,3.05618,0.113644,1.9878,0.113644,5.59303,0.113644
GPR132,4.82627,3.64478,3.28517,3.76961,4.77752,2.77595,3.1737,5.5331,2.92457,2.92457,3.64478,3.56825,3.70787,2.92457,3.70787,2.77595,3.56825,2.51832,2.69645,3.28243,2.77595,0.113644,8.01413,9.43823,8.78451,5.47412,8.75978,8.58424,8.69932,6.19415,8.50395,8.06218,5.18213,3.37097,8.89501,3.70787,4.26947,4.11061,3.05618,2.61696,2.77595,3.56825,2.41968,3.56825,2.77595,2.41968,6.58321,3.89584,2.41968,3.05618,2.77595,5.64397,3.05618,2.85026,3.39116,3.05618,2.77595,2.61696,2.16272,2.77595,4.05534,4.21911,2.77595,5.18213,3.39116,3.86401,6.67211,3.56825,2.77595,4.11061,3.28517,4.21911
GPR65,3.77002,3.97909,3.70787,3.89584,5.79561,2.41968,2.16272,5.88569,2.41968,1.81287,6.87765,5.45333,4.67269,3.28517,3.28517,2.16272,2.16272,1.81287,2.61696,1.51127,2.16272,1.81287,8.58913,9.85911,10.1272,7.24953,8.17773,8.9198,9.28798,8.10179,8.29646,7.69723,8.84983,5.16956,2.41968,2.77595,1.20968,3.28517,4.31312,2.41968,3.1737,3.48123,2.16272,2.16272,2.41968,2.92457,7.01742,4.99416,1.81287,2.41968,1.81287,3.42671,2.41968,1.9878,2.92457,2.41968,2.77595,2.16272,1.20968,2.41968,2.92457,2.16272,1.81287,2.16272,2.61696,3.1737,3.39116,2.41968,3.1737,1.81287,3.05618,2.41968
HCST,4.81015,3.86401,3.05618,1.81287,5.8662,3.28517,2.41968,7.08465,2.16272,2.61696,3.89584,4.59911,3.64478,2.92457,2.92457,2.16272,1.81287,1.81287,2.16272,2.21491,0.113644,0.113644,9.2764,9.55031,8.89414,6.75783,9.65317,9.72339,8.41274,7.82721,8.2838,7.07337,7.97639,3.94291,0.113644,1.81287,1.81287,3.1737,1.51127,2.61696,3.11494,3.05618,1.81287,3.56825,3.05618,3.05618,6.06605,3.39116,2.77595,1.81287,1.81287,2.16272,1.81287,0.661663,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,2.41968,1.81287,2.41968,2.41968,0.113644,2.41968,2.41968,2.16272,1.51127,1.81287,0.113644,1.81287
IL10RA,8.8114,7.10509,1.20968,6.5393,9.28653,1.20968,1.20968,0.113644,0.113644,2.16272,6.48519,7.7649,6.06605,0.113644,4.77752,2.61696,1.20968,4.21911,1.51127,2.69056,6.74966,0.113644,12.1582,11.6802,9.47929,8.42808,12.8042,11.7461,11.1528,8.79395,11.3613,8.45857,9.1614,5.02728,6.33362,3.05618,1.20968,2.16272,1.51127,0.113644,1.20968,5.61397,0.113644,0.113644,0.113644,0.113644,8.67553,8.68785,6.18762,4.51527,2.77595,4.21911,4.51527,3.44418,2.61696,1.20968,1.20968,2.92457,3.05618,1.81287,1.81287,0.113644,1.20968,2.92457,1.81287,4.3519,6.29852,3.89584,1.81287,1.81287,1.20968,0.113644
IL2RG,5.30108,4.51527,3.28517,4.19301,4.80976,2.61696,2.41968,9.52771,2.16272,2.92457,9.69498,6.26032,8.46109,2.61696,6.86686,4.16691,3.05618,2.16272,2.92457,4.6348,1.20968,0.113644,11.4463,12.2368,11.3604,4.31312,10.3685,10.1068,12.0429,11.6791,12.2395,9.51737,11.8713,4.43585,10.4095,4.26947,3.1737,3.9543,3.05618,2.41968,3.05618,4.38682,3.05618,1.81287,2.41968,2.41968,9.34488,3.22943,1.81287,2.41968,2.92457,3.76961,2.41968,2.77595,2.61696,2.61696,2.92457,2.41968,2.16272,2.41968,3.48123,3.56825,3.39116,2.16272,2.92457,3.89584,3.70787,3.05618,2.16272,3.1737,2.41968,3.05618
