,Valve,Ventricle,Heart,Atrium,Adipose,Adipocyte,Osteoblast,Bone marrow,Stromal cell,Chondrocyte,Intestinal epithelial cell,Liver,Small intestine,Hepatic stellate cell,Colon,Hepatocyte,Esophagus,Beta cell,Colon mucosa,Gastric epithelial cell,Alpha cell,Pancreatic islet,Plasmacytoid dendritic cell,Neutrophil,Granulocyte,Microglia,Dendritic cell,Macrophage,Spleen,Thymus,Tlymphocyte,Blymphocyte,Thymocyte,Kupffer cell,Plasma cell,Basal cell,Keratinocyte,Skin,Hair follicle,Fibroblast,Melanocyte,Skeletal muscle,Myoblast,Airway smooth muscle,Vascular smooth muscle,Myofibroblast,Pons,Spinal cord,Sensory neuron,Hypothalamus,Retina,Medulla,Thalamus,Cerebral cortex,Cerebellum,Astrocyte,Oligodendrocyte,Neuron,Midbrain,Motor neuron,Lung,Trachea,Lung epithelial cell,Podocyte,Granulosa,Ovary,Renal cortex,Kidney,Testis,Breast,Oocyte,Mammary gland
ITGAL,5.18213,4.59911,4.11061,4.83745,7.11933,3.05618,2.41968,8.42438,2.77595,2.77595,6.93158,7.73975,5.15699,2.16272,4.11061,6.06605,2.41968,2.77595,2.77595,2.77595,2.92457,1.20968,11.7211,12.1406,11.2032,7.89087,10.1411,10.1803,11.472,11.9828,11.9455,10.0846,12.3665,5.81427,8.92409,3.39116,2.16272,4.31312,3.1737,2.61696,2.16272,5.28658,2.92457,2.16272,2.16272,2.77595,9.01458,6.35023,2.77595,3.56825,3.56825,4.11061,3.1737,3.60651,3.76961,2.61696,2.77595,2.61696,3.1737,2.77595,4.00388,2.61696,3.28517,2.41968,4.02961,4.53781,4.19301,3.39116,3.64478,3.48123,3.83218,3.28517
ITGB2,10.1712,7.56217,3.28517,6.99259,8.82663,4.11061,5.11544,8.41828,3.1737,5.27315,4.81015,8.73944,7.19032,3.05618,5.84343,5.45333,6.54968,0.113644,4.10448,5.69993,0.113644,0.113644,11.8165,13.9413,13.6771,11.471,13.3674,13.9155,11.6836,11.8434,11.4003,8.44676,11.5856,6.9701,0.113644,5.15699,4.56034,5.47412,5.70917,1.9878,3.39116,6.33362,6.79623,2.41968,3.48123,2.16272,9.37413,10.0735,2.77595,6.13094,3.05618,3.28517,6.3224,2.77076,3.70787,2.16272,1.20968,1.20968,0.113644,0.113644,5.02256,3.9543,4.93037,5.88569,5.14114,7.27515,6.54938,4.08298,2.77595,5.70924,1.81287,5.18213
LTA,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,6.07935,6.4358,0.113644,0.113644,4.63537,2.41968,7.41835,5.75193,7.85429,6.53245,6.86236,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.81287,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644
LTB,4.05534,2.16272,0.113644,1.9878,4.47438,0.113644,1.20968,0.113644,0.113644,0.113644,1.20968,2.77595,3.64478,0.113644,3.1737,2.92457,0.113644,0.113644,2.85026,3.58139,0.113644,0.113644,10.8342,11.6768,9.72771,0.113644,6.68963,5.34282,10.028,10.4606,10.9346,7.72971,10.7535,2.77694,0.113644,0.113644,1.20968,1.81287,0.113644,0.113644,1.20968,1.20968,0.113644,0.113644,1.20968,0.113644,5.96743,0.113644,0.113644,1.20968,0.113644,1.20968,1.20968,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,1.81287,0.113644,1.81287,2.16272,0.113644,1.20968,1.81287,2.16272,0.113644,1.81287,0.113644,1.20968
MYO1G,5.00836,4.05534,3.1737,4.43111,4.11061,2.92457,2.41968,7.95029,2.16272,3.05618,4.63537,4.77752,5.70924,2.16272,3.89584,2.77595,3.05618,2.77595,2.85026,0.963256,1.81287,0.113644,10.4444,11.3442,10.0998,5.02256,10.3073,10.2564,10.6913,11.0315,11.3703,10.2768,11.0367,4.14294,5.07842,3.05618,3.05618,4.51527,2.77595,2.16272,2.41968,4.16691,2.92457,1.20968,2.16272,2.41968,7.90918,4.87314,2.16272,3.1737,2.41968,3.67632,2.92457,2.61696,4.3519,2.16272,2.41968,2.41968,2.41968,2.77595,3.28517,2.61696,2.41968,1.20968,3.43619,4.38682,4.02961,2.77595,2.92457,2.77595,3.76961,2.92457
NCF1,5.93506,4.31312,3.1737,4.57973,4.51527,2.61696,2.41968,6.48238,2.41968,2.77595,4.21911,4.38682,3.89584,2.41968,3.39116,2.92457,4.05534,2.16272,2.41968,1.9878,2.77595,0.113644,11.1105,12.6041,11.3924,7.23542,10.2645,10.8293,7.03818,6.31732,6.3224,10.6509,5.4302,3.65975,7.79648,3.64478,3.56825,3.39116,2.77595,2.16272,2.61696,4.43111,3.05618,1.81287,2.41968,2.16272,6.51705,4.63537,2.16272,2.77595,2.77595,3.52474,3.39116,2.41968,3.48123,2.41968,2.92457,2.41968,1.81287,2.61696,3.28517,4.71212,2.61696,2.41968,3.43619,3.56825,3.28517,2.77595,2.77595,2.61696,3.64478,2.61696
NCF1B,4.49483,3.1737,0.113644,2.2912,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,2.16272,2.16272,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,9.9628,11.1222,10.572,2.41968,8.19977,8.75978,5.84343,4.6924,5.3649,8.61866,2.77595,0.113644,0.113644,1.20968,1.20968,0.113644,0.113644,0.113644,0.113644,2.16272,0.113644,0.113644,0.113644,0.113644,3.70787,1.81287,0.113644,1.20968,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.81287,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644
NCF1C,4.94657,3.48123,0.113644,1.81287,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,2.92457,2.61696,0.113644,1.20968,1.20968,1.81287,0.113644,0.113644,0.113644,0.113644,0.113644,10.4884,11.6239,10.1418,4.19301,9.46332,9.71032,5.91845,4.77752,4.63537,9.53006,1.81287,2.30042,0.113644,1.81287,2.16272,0.113644,0.113644,0.113644,0.113644,1.81287,0.113644,0.113644,0.113644,0.113644,3.76961,2.41968,0.113644,1.20968,0.113644,0.113644,1.20968,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,2.92457,0.113644,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644
NCF4,7.60353,5.59303,1.81287,4.51736,6.9462,0.113644,0.113644,9.06331,0.113644,0.113644,2.85026,5.45333,4.51527,0.113644,3.48123,1.20968,2.41968,0.113644,0.113644,1.87921,0.113644,0.113644,9.77909,11.9709,11.4473,8.43809,9.10164,10.2574,8.31686,7.03257,7.27416,8.88025,4.51527,3.94367,8.00587,2.41968,1.81287,1.20968,0.661663,0.113644,0.113644,4.05534,0.113644,0.113644,0.113644,0.113644,5.76006,4.59911,0.113644,2.61696,0.113644,0.113644,2.61696,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,2.16272,0.113644,0.113644,0.113644,2.61696,3.05618,0.113644,0.113644,1.20968,0.113644,1.20968
NFKBID,4.84145,4.38682,4.80976,4.99267,5.51459,4.87314,5.28658,7.35435,5.18213,5.37571,5.6035,4.89983,5.74381,5.20789,5.70924,4.74622,5.5514,5.25971,5.11807,7.08668,5.8662,4.96278,7.72691,8.88994,8.73498,6.56644,9.01852,8.64827,8.86664,7.97026,7.67462,8.441,7.86771,4.84279,6.58321,5.16956,5.59303,5.69219,5.27315,5.4302,5.96743,4.11061,4.67269,4.84279,5.28658,5.40837,6.86236,4.51527,4.16691,4.21911,4.56034,6.75783,4.21911,4.00388,5.3649,4.47438,3.64478,4.26947,2.99037,4.43111,6.01703,5.70924,6.33362,5.79561,4.49483,5.62355,6.26748,5.69219,4.61724,5.81111,3.64478,5.64397
OSM,2.85026,1.81287,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,4.76094,8.30029,9.81397,0.113644,6.9754,7.44713,6.59685,2.92457,6.50485,2.77595,2.41968,1.81287,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,3.39116,2.77595,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644
PARVG,7.10053,5.65482,1.20968,5.16956,6.46517,1.20968,1.81287,9.40679,0.113644,1.20968,3.563,6.16133,4.63537,0.113644,3.05618,1.20968,0.113644,0.113644,0.661663,0.113644,0.113644,0.113644,11.4092,11.5446,11.0968,9.27832,10.0895,10.6913,10.5067,10.7789,9.87578,9.29118,10.1053,4.49289,0.113644,1.20968,0.113644,1.81287,1.81287,0.113644,1.20968,4.16691,0.113644,0.113644,0.113644,0.113644,7.53071,8.38436,2.41968,4.71212,1.20968,2.92457,4.74622,1.9878,3.05618,1.20968,1.20968,1.20968,1.81287,0.113644,0.113644,0.113644,0.113644,0.113644,3.70787,5.00836,4.02961,1.20968,2.92457,0.113644,5.98306,0.113644
PIK3R5,7.23971,5.50423,1.20968,4.24429,3.89584,0.113644,0.661663,1.20968,0.113644,1.20968,3.56825,5.8662,3.89584,0.113644,5.04875,2.92457,0.113644,1.20968,2.91606,0.113644,0.113644,0.113644,11.2649,11.6471,11.3355,7.08156,11.4602,11.5357,9.51726,9.63365,9.78239,7.58896,9.35878,4.907,0.113644,2.41968,0.113644,2.41968,0.113644,0.113644,1.20968,3.76961,0.113644,0.113644,0.113644,0.113644,6.64674,6.75783,1.20968,3.9543,1.20968,1.20968,3.83218,1.9878,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,2.16272,3.83218,3.73874,3.39116,3.9543,2.16272,0.113644,1.20968
PLEK,7.87166,6.45859,2.16272,5.57221,6.77744,2.16272,1.81287,9.85807,0.113644,2.41968,6.1664,6.9828,4.77752,1.81287,2.16272,2.41968,0.113644,0.113644,0.661663,0.113644,0.113644,0.113644,13.7513,12.4655,12.5612,10.3843,13.2437,13.0213,9.88548,7.78935,8.85257,11.7185,4.16691,5.24122,8.30332,3.28517,0.113644,2.41968,1.81287,0.113644,0.113644,4.59911,0.113644,1.81287,1.81287,1.81287,7.65305,6.48238,1.20968,2.77595,1.81287,1.81287,3.28517,2.85026,1.81287,1.20968,0.113644,0.113644,0.113644,0.113644,1.20968,1.81287,0.113644,2.77595,1.51127,3.67632,5.76088,2.41968,1.81287,0.113644,0.113644,0.113644
PSTPIP1,6.26748,4.26947,3.56825,4.47438,5.51459,2.77595,2.16272,6.64674,2.41968,5.04875,4.36936,3.83218,3.70787,2.61696,3.76961,1.81287,3.05618,2.77595,2.77595,2.29441,2.16272,1.20968,7.33832,10.5397,10.2961,4.47438,8.55124,9.02043,9.03285,8.26994,9.13346,7.0136,7.54934,3.38092,1.20968,3.39116,5.31558,4.16691,2.92457,2.61696,2.41968,3.89584,2.61696,3.48123,3.05618,2.16272,6.28742,4.29129,1.81287,3.05618,1.81287,2.99037,3.05618,2.41968,2.77595,2.41968,2.77595,2.41968,1.81287,3.28517,3.39116,3.28517,1.81287,1.81287,5.484,4.45275,3.1737,2.61696,2.41968,1.81287,7.21826,1.81287
RASAL3,5.36197,3.9543,1.20968,2.85026,3.48123,2.16272,1.20968,4.59911,0.113644,1.20968,4.13371,4.38682,3.89584,2.16272,2.77595,2.92457,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,9.74127,10.6886,9.67451,6.89018,7.09227,7.53683,9.7182,10.1075,10.593,8.57476,9.91936,4.74231,0.113644,1.20968,0.113644,2.16272,1.81287,0.113644,1.20968,3.48123,0.113644,1.20968,0.113644,1.20968,6.75783,5.5514,1.20968,3.48123,0.113644,1.20968,3.39116,1.20968,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.81287,2.92457,2.92457,1.20968,1.81287,1.20968,2.92457,1.20968
S1PR4,2.92457,2.41968,0.113644,1.20968,3.48123,0.113644,0.113644,3.05618,0.113644,0.113644,2.41968,2.41968,2.41968,0.113644,1.81287,0.113644,0.113644,0.113644,0.113644,2.77192,0.113644,0.113644,8.26938,11.0885,11.2284,0.113644,7.35149,5.59303,9.42566,8.0671,8.48608,7.37623,7.49889,0.963256,0.113644,1.81287,2.16272,1.20968,0.113644,0.113644,0.113644,1.81287,0.113644,0.113644,0.113644,0.113644,4.43111,0.113644,1.81287,1.81287,0.113644,0.113644,1.81287,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,2.16272,1.20968,1.81287,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644
SASH3,6.50535,4.93037,0.113644,3.80089,5.07842,1.20968,0.113644,8.12929,0.113644,0.113644,5.58311,6.09783,4.11061,0.113644,2.16272,1.81287,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,11.2684,11.9152,11.3898,7.99804,11.2301,10.5967,11.2382,11.3588,10.7422,11.0255,10.1884,4.42618,0.113644,1.81287,0.113644,1.20968,0.113644,0.113644,0.113644,3.64478,0.113644,0.113644,0.113644,0.113644,7.50607,6.71742,0.113644,3.1737,0.113644,1.81287,3.1737,1.20968,1.81287,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,2.41968,3.56825,1.20968,0.113644,0.113644,0.113644,0.113644
SLAMF1,2.85026,3.05618,0.113644,2.16272,2.77595,0.113644,0.113644,0.113644,0.113644,0.113644,2.2912,2.41968,2.16272,0.113644,0.113644,1.81287,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,6.35023,8.35063,3.22943,0.113644,8.53994,6.33362,8.77715,9.20059,9.35878,7.23634,9.4188,3.44321,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,4.26947,0.113644,0.113644,0.113644,0.113644,0.661663,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.51127,0.113644,0.113644,0.113644,0.113644,0.113644
SNX20,4.56034,3.89584,3.28517,4.08298,5.80336,2.16272,1.81287,8.27376,1.81287,2.41968,4.53781,4.56034,3.70787,1.81287,3.28517,2.16272,1.81287,1.81287,2.41968,0.113644,1.20968,0.113644,10.5294,10.8927,10.4298,5.63312,10.1375,9.34152,9.46706,9.757,9.57457,7.12913,8.956,2.86248,6.83834,3.05618,1.20968,4.11061,2.92457,1.81287,1.81287,7.03818,2.77595,1.20968,1.81287,1.20968,7.18296,4.51527,1.20968,2.92457,2.41968,2.92457,3.05618,2.16272,3.83218,2.41968,3.56825,2.41968,2.16272,2.41968,2.61696,2.41968,1.20968,1.20968,2.41968,3.43619,3.05618,2.41968,2.77595,1.81287,2.41968,2.16272
TAGAP,5.67402,3.9543,2.61696,3.11494,5.82639,2.16272,1.81287,8.14304,1.20968,1.81287,5.76006,4.3519,4.05534,1.81287,3.39116,1.81287,1.81287,0.113644,1.9878,0.113644,0.113644,0.113644,9.71082,12.2531,11.8654,6.52121,9.43982,8.88994,11.1588,10.1613,10.5166,6.99641,9.61253,3.77474,9.27797,3.39116,3.28517,2.41968,2.85026,0.113644,2.77595,3.83218,1.20968,2.41968,1.81287,1.20968,7.34635,6.67211,4.00388,3.56825,2.92457,1.81287,3.39116,3.33816,3.39116,2.16272,2.41968,2.61696,2.61696,1.20968,1.20968,3.39116,0.113644,2.16272,1.81287,3.11494,3.05618,2.16272,1.9878,1.20968,0.113644,0.113644
TNF,3.22943,2.77595,0.113644,1.20968,2.41968,0.113644,0.113644,0.113644,0.113644,0.113644,2.51832,2.16272,1.81287,0.113644,1.81287,0.113644,0.113644,0.113644,0.113644,1.84095,0.113644,0.113644,6.34193,7.62734,7.22182,0.113644,8.85446,9.00801,8.81617,4.26612,8.74681,6.81119,4.74622,0.113644,0.113644,2.41968,4.77752,1.81287,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,4.71212,0.113644,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,2.77595,0.113644,6.20187,0.113644,1.9878,2.51832,1.81287,0.113644,2.41968,0.113644,1.20968
TNFAIP3,8.79666,6.93534,6.83834,6.76229,7.67462,8.30332,8.84869,8.56892,7.861,7.62374,9.92,8.73232,8.84983,8.8399,8.21284,9.01852,7.68261,6.14657,7.3753,6.68191,5.49388,6.20187,11.0958,10.4225,9.90625,6.54466,11.3348,11.2382,12.2259,10.8219,11.905,8.95367,11.1555,10.2508,9.2492,10.2266,10.4568,8.31069,7.64769,7.13892,8.56131,7.41835,6.56004,7.29945,9.7665,8.95632,10.2119,7.05097,3.83218,4.71212,7.91849,7.51301,4.74622,5.00836,2.41968,6.16133,4.99416,4.31312,4.00388,4.21911,8.78423,10.5919,7.95044,9.60298,8.21716,8.47936,9.49603,6.4358,6.80554,7.34635,5.40837,6.02565
TNFAIP8L2,5.16956,3.83218,1.81287,2.77595,2.77595,1.20968,1.20968,3.28517,0.113644,1.81287,1.81287,4.05534,2.61696,1.20968,2.16272,1.81287,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,7.44391,9.61398,9.47003,5.44124,8.15592,8.59108,6.47324,6.61905,6.62962,6.47324,5.04875,2.72394,0.113644,1.81287,1.20968,1.81287,0.661663,0.113644,1.81287,2.61696,0.113644,1.20968,1.81287,1.81287,3.64478,3.70787,1.20968,2.41968,1.81287,1.20968,2.41968,1.20968,2.41968,1.20968,1.81287,1.20968,0.113644,0.113644,1.20968,0.113644,1.81287,1.20968,0.113644,1.20968,2.16272,2.16272,0.113644,1.20968,0.113644,1.20968
TNFSF8,4.38682,3.28517,0.113644,2.16272,3.05618,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,2.92457,1.81287,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,7.33897,8.37638,7.88848,0.113644,7.74633,7.66284,8.10586,8.36289,8.68093,1.81287,7.80811,2.30042,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,1.81287,0.113644,0.113644,0.113644,0.113644,3.48123,2.92457,0.113644,0.113644,0.113644,0.661663,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644
TRAF3IP3,5.23546,4.21911,3.48123,4.16691,6.56004,3.28517,3.05618,8.66182,3.1737,2.92457,7.02282,4.63537,4.47438,2.92457,4.33251,3.28517,3.64478,2.92457,3.60651,2.41968,2.92457,0.113644,9.97798,11.3081,10.0567,6.74061,8.92409,7.44713,10.8185,11.2919,10.8054,9.45255,11.1731,3.88415,8.7545,5.69219,5.38652,4.84279,3.89584,2.92457,2.85026,4.38682,3.28517,2.41968,3.05618,2.61696,8.5761,5.59303,2.16272,3.48123,3.56825,4.59785,3.48123,2.41968,5.72615,2.77595,4.00388,2.61696,2.16272,2.41968,3.64478,5.3649,2.41968,2.77595,3.60651,4.02961,6.04791,3.64478,3.48123,3.28517,3.64478,3.56825
WAS,5.89404,4.67269,2.92457,4.56034,4.26947,2.41968,2.61696,7.15725,1.81287,2.92457,3.39116,5.47412,4.00388,2.77595,3.89584,4.56034,2.61696,2.16272,1.81287,2.95106,0.113644,0.113644,10.1175,11.9235,10.7174,6.61965,9.50579,9.6392,9.06234,10.068,9.77837,9.24453,8.87207,4.24653,6.47324,3.1737,3.05618,3.05618,2.69645,2.16272,2.92457,3.76961,1.20968,3.1737,2.41968,2.16272,6.9657,6.74061,3.56825,4.05534,2.41968,2.16272,4.05534,3.33816,3.39116,3.05618,3.28517,3.05618,2.77595,2.41968,3.39116,3.1737,2.41968,2.61696,2.92457,3.89584,3.52474,3.39116,2.2912,3.39116,2.61696,3.1737
