id,min,q1,median,q3,max
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,8.03679,9.43167,10.7417,12.3952,13.3136
System.Connective Tissue.Bone marrow.CHONDROCYTE,3.08556,6.5991,10.2267,11.891,15.6667
System.Nervous System.CNS.OLIGODENDROCYTE,0.113644,7.54172,8.9972,9.79336,11.0465
System.Connective Tissue.Bone.OSTEOBLAST,3.77885,5.41382,8.97701,11.2722,13.0888
System.Muscular System.Smooth muscle.MYOFIBROBLAST,3.55601,7.1263,8.94238,10.0059,10.9691
System.Immune System.Myeloid.KUPFFER CELL,3.84459,4.61229,8.30998,11.2535,11.6185
System.Cardiovascular System.Heart.VALVE,1.72239,6.537,8.15515,9.69533,10.9176
System.Digestive System.Liver.LIVER,0.113644,3.9543,8.12035,9.71621,10.9949
System.Digestive System.Liver.HEPATIC STELLATE CELL,3.99472,6.64674,7.85883,9.88286,11.1422
System.Connective Tissue.Adipose tissue.ADIPOSE,1.20968,6.41035,7.53683,8.44538,9.98043
System.Nervous System.CNS.SPINAL CORD,4.43111,6.35716,7.41137,8.30332,9.4177
System.Connective Tissue.Adipose tissue.ADIPOCYTE,2.77595,5.4302,7.40438,9.68762,12.608
System.Nervous System.CNS.ASTROCYTE,0.113644,2.77595,7.35721,9.80559,12.1863
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,2.68055,5.25971,7.26685,8.98773,10.1081
System.Nervous System.CNS.HYPOTHALAMUS,4.74966,5.63312,7.23213,9.48878,10.976
System.Urogenital/Reproductive System.Kidney.PODOCYTE,2.16272,5.28658,7.16288,9.03285,10.919
System.Digestive System.Intestine.COLON MUCOSA,0.113644,2.62264,7.09107,9.6091,12.8852
System.Nervous System.CNS.MEDULLA,0.113644,2.50874,6.59585,9.51774,11.9361
System.Cardiovascular System.Heart.VENTRICLE,4.57391,5.76006,6.53965,7.4543,9.12855
System.Digestive System.Liver.HEPATOCYTE,0.113644,3.05618,6.4358,9.70517,12.3945
System.Nervous System.CNS.THALAMUS,0.113644,5.00576,6.35023,8.14177,10.891
System.Nervous System.CNS.CEREBRAL CORTEX,1.15488,4.77686,6.32387,8.02934,9.21734
System.Cardiovascular System.Heart.HEART,0.113644,4.16691,6.23741,7.94077,9.96471
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,1.51127,6.2249,7.80935,9.78448
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,0.113644,5.8662,8.48884,10.9267
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,1.81287,4.05534,5.40837,7.50607,11.196
System.Cardiovascular System.Heart.ATRIUM,1.20968,2.77595,5.35105,6.68963,8.17197
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,1.20968,5.28658,8.59516,10.6685
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,4.16691,5.23546,6.74942,9.44363
System.Connective Tissue.Bone.STROMAL CELL,0.113644,0.113644,4.96278,9.21322,12.6161
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,1.20968,4.74622,6.74922,8.65723
System.Integumentary System.Skin.SKIN,0.113644,0.113644,4.47438,6.86236,9.58675
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,1.81287,4.43673,6.40462,8.22132
System.Nervous System.CNS.MIDBRAIN,0.113644,0.113644,3.92507,8.11123,11.3461
System.Immune System.Spleen.SPLEEN,0.113644,0.113644,3.83218,6.52893,12.4231
System.Integumentary System.Skin.FIBROBLAST,0.113644,0.113644,3.70787,6.6339,10.3834
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,0.113644,3.70787,7.09904,9.79666
System.Nervous System.CNS.NEURON,0.113644,0.113644,3.64478,7.74633,10.3487
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,0.113644,3.05618,9.24262,12.0282
System.Immune System.Myeloid.MACROPHAGE,0.113644,0.113644,2.92457,5.34282,9.95126
System.Nervous System.Eye.RETINA,0.113644,0.113644,2.92457,4.92273,9.95975
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,0.113644,2.77595,5.07842,7.81652
System.Immune System.Myeloid.MICROGLIA,0.113644,0.113644,2.41968,9.55752,10.4771
System.Digestive System.Intestine.COLON,0.113644,0.113644,2.41968,7.82526,10.142
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,2.41968,4.86556,8.09258
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,0.113644,2.41968,5.02256,9.50457
System.Nervous System.PNS.SENSORY NEURON,0.113644,1.20968,2.41968,4.21911,7.88307
System.Nervous System.CNS.CEREBELLUM,0.113644,1.20968,2.16272,3.05618,5.40618
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,0.113644,1.81287,5.60874,10.1724
System.Nervous System.CNS.PONS,0.113644,0.113644,1.81287,5.31558,9.45919
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,0.113644,1.81287,5.07842,9.45369
System.Respiratory System.Lung.LUNG,0.113644,0.113644,1.81287,6.41035,10.3752
System.Nervous System.PNS.MOTOR NEURON,0.113644,0.113644,1.20968,4.05534,9.15264
System.Immune System.Thymus.THYMUS,0.113644,0.113644,1.20968,4.17817,9.3671
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,0.113644,1.20968,2.77595,4.42315
System.Immune System.Thymus.THYMOCYTE,0.113644,0.113644,1.20968,4.16691,7.75129
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,0.113644,3.56825,9.84092
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,0.113644,0.113644,7.03978,10.393
System.Integumentary System.Skin.KERATINOCYTE,0.113644,0.113644,0.113644,1.20968,5.44082
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,0.113644,0.113644,2.41968,4.43111
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,0.113644,2.61696,6.56809
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,0.113644,7.45868,12.1818
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,0.113644,2.16272,8.43178
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.113644,0.113644,0.113644,0.779221,3.10694
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,0.113644,8.29147
System.Integumentary System.Skin.BASAL CELL,0.113644,0.113644,0.113644,5.91845,9.34856
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,0.113644,0.113644,1.90033,4.93916
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,0.113644,0.113644,2.41968,7.30665
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,0.113644,0.113644,4.67269,11.3506
System.Respiratory System.Trachea.TRACHEA,0.113644,0.113644,0.113644,2.41968,8.35045
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,0.113644,0.113644,2.88741,5.00325
System.Integumentary System.Skin.MELANOCYTE,0.113644,0.113644,0.113644,2.7362,7.4817
